,Location,Total-Population_x,Median-Age,0:9-Years,0:9-Percentage,10:19-Years,10:19-Percentage,20:34-Years,20:34-Percentage,35:54-Years,35:54-Percentage,55-64 years ,55:64-Percentage,65+Years,65+Percentage,Total Housing Units: ,Total-Occupied,Housing-Unit-Percentage,Owner-Occupied,Owner-Occupied-Units-Percentage,Renter-Occupied,Renter-Occupied-Units-Percentage,Median-Income,Total-Households,14999-And-Under,14999-And-Under-Percentage,15-24999K,15-24999K-Percentage,25-34999K,25-34999K-Percentage,35-49999K,35-49999K-Percentage,50-74999K,50-74999K-Percentage,75-99999K,75-99999K-Percentage,100-149999K,100-149999K-Percentage,150K+,150K+Percentage,Total-Population_y,Total-In-Poverty,Poverty-Rate,Percent-Boston-Impoverished,Total-Population-25+,Less than High School ,Less-Than-High-School-Percentage,High-School-Graduate,High-School-Graduate-Percentage,Some College ,Some-College-Percentage,Bachelor-Degree-Or-More,Bachelor-Degree-Or-More-Percentage,Population-Age-3+,Enrolled-In-School:,3+-Percentage,Enrolled-Nursery-School-Preschool,Enrolled-Nursery-School-Preschool-Percentage,Enrolled-In-Kindergarten,Enrolled-In-Kindergarten-Percentage,Enrolled-Grade-1:4,Enrolled-Grade-1:4-Percentage,Enrolled-Grade-5:8,Enrolled-Grade-5:8-Percentage,Enrolled-Grade-9:12,Enrolled-Grade-9:12-Percentage,Enrolled-College-Undergraduate,Enrolled-College-Undergraduate-Percentage,Graduate-Or-Professional-School,Graduate-Or-Professional-School-Percentage,Not-Enrolled-In-School,Not-Enrolled-In-School-Percentage
0,Allston,19363.0,26.0,550.0,0.028404689355988225,2691.0,0.13897639828538966,13084.0,0.6757217373340908,1711.0,0.08836440634199245,675.0,0.03486030057325828,652.0,0.03367246810928059,7110.0,6457.0,0.908,631.0,0.098,5826.0,0.902,46982.76,6457.0,1453.0,0.22502710236952145,584.0,0.09044447886015178,603.0,0.0933870218367663,781.0,0.12095400340715502,1042.0,0.16137525166485983,544.0,0.0842496515409633,912.0,0.1412420628774973,538.0,0.08332042744308503,13892.0,4326.0,0.3114022458969191,0.03363448350930663,10561.0,715.0,0.06770192216646151,986.0,0.09336237098759587,1265.0,0.11978032383297037,7595.0,0.7191553830129722,19174.0,11318.0,0.5902785021383123,34.0,0.003004064322318431,38.0,0.0033574836543558933,271.0,0.023944159745538082,162.0,0.014313482947517229,77.0,0.006803322141721152,6630.0,0.585792542852094,4106.0,0.3627849443364552,7856.0,0.4097214978616877
1,Back Bay,18176.0,33.0,798.0,0.04390404929577465,1632.0,0.0897887323943662,7498.0,0.4125220070422535,3498.0,0.19245158450704225,2118.0,0.11652728873239436,2632.0,0.144806338028169,11773.0,9824.0,0.834,3196.0,0.325,6628.0,0.675,102070.55,9824.0,1402.0,0.14271172638436483,381.0,0.038782573289902283,350.0,0.035627035830618894,582.0,0.059242671009771986,1237.0,0.12591612377850162,879.0,0.08947475570032573,1586.0,0.16144136807817588,3407.0,0.34680374592833874,16661.0,1958.0,0.11751995678530701,0.01522337464429551,14166.0,324.0,0.022871664548919948,699.0,0.0493434985175773,1095.0,0.07729775518847946,12048.0,0.8504870817450233,17820.0,4454.0,0.24994388327721662,150.0,0.03367759317467445,45.0,0.010103277952402335,247.0,0.05545577009429726,227.0,0.050965424337674,171.0,0.03839245621912887,2321.0,0.5211046250561293,1293.0,0.29030085316569376,13366.0,0.7500561167227834
2,Beacon Hill,9751.0,32.0,728.0,0.07465900933237617,322.0,0.033022254127781765,4758.0,0.4879499538508871,1826.0,0.18726284483642702,921.0,0.09445185109219567,1196.0,0.12265408676033228,6014.0,5458.0,0.908,1849.0,0.339,3609.0,0.661,98069.24,5458.0,582.0,0.10663246610480029,205.0,0.03755954562110663,159.0,0.02913155001832173,360.0,0.0659582264565775,730.0,0.13374862587028216,751.0,0.13759618908024918,939.0,0.17204104067423964,1732.0,0.31733235617442285,9751.0,907.0,0.0930161009127269,0.007051890093144039,7948.0,182.0,0.022898842476094614,176.0,0.02214393558127831,455.0,0.05724710619023654,7135.0,0.8977101157523906,9348.0,1504.0,0.1608900299529311,157.0,0.10438829787234043,41.0,0.02726063829787234,206.0,0.13696808510638298,67.0,0.04454787234042553,71.0,0.04720744680851064,503.0,0.33444148936170215,459.0,0.30518617021276595,7844.0,0.8391099700470689
3,Brighton,51785.0,29.0,3271.0,0.06316500917254031,3244.0,0.06264362267065753,27399.0,0.5290914357439412,8337.0,0.16099256541469537,3340.0,0.06449744134401854,6194.0,0.11960992565414695,23214.0,21605.0,0.931,5117.0,0.237,16488.0,0.763,62041.2,21605.0,3999.0,0.1850960425827355,1468.0,0.06794723443647303,1618.0,0.07489007174265216,2007.0,0.09289516315667669,3650.0,0.1689423744503587,2249.0,0.10409627401064568,3831.0,0.17732006479981485,2783.0,0.12881277482064338,48366.0,9627.0,0.19904478352561716,0.07484955449470525,35808.0,3107.0,0.0867683199285076,4549.0,0.1270386505808758,4861.0,0.1357517873100983,23291.0,0.6504412421805184,50447.0,15376.0,0.30479513152417387,299.0,0.01944588969823101,396.0,0.025754422476586887,850.0,0.05528095733610822,791.0,0.05144380853277836,950.0,0.06178459937565037,7140.0,0.46436004162330907,4950.0,0.3219302809573361,35071.0,0.6952048684758261
4,Charlestown,18901.0,35.0,2424.0,0.12824718268874663,1196.0,0.06327707528702185,5738.0,0.3035818210676684,5315.0,0.28120205280143906,2268.0,0.11999365112956986,1960.0,0.1036982170255542,9407.0,8931.0,0.949,4068.0,0.455,4863.0,0.545,103243.16,8931.0,1318.0,0.1475758593662524,593.0,0.06639793976038517,412.0,0.046131452244989365,419.0,0.04691523905497705,842.0,0.09427835628708991,782.0,0.08756018363005262,1436.0,0.16078826559175904,3129.0,0.3503527040644945,18816.0,3378.0,0.1795280612244898,0.02626381999409103,14496.0,1432.0,0.09878587196467992,2133.0,0.14714403973509935,1728.0,0.11920529801324503,9203.0,0.6348647902869757,17902.0,3219.0,0.17981231147357837,415.0,0.12892202547374962,196.0,0.06088847468157813,571.0,0.1773842808325567,557.0,0.17303510406958683,416.0,0.1292326809568189,552.0,0.17148182665424044,512.0,0.1590556073314694,14683.0,0.8201876885264217
5,Dorchester,125947.0,33.0,15270.0,0.12124147458851739,16381.0,0.13006264539846127,35301.0,0.28028456414205977,32714.0,0.2597441781066639,13047.0,0.10359119312091594,13234.0,0.10507594464338174,47891.0,44086.0,0.921,15340.0,0.348,28746.0,0.652,49662.36,44086.0,9114.0,0.20673229596697365,4344.0,0.0985346822120401,3646.0,0.0827019915619471,5033.0,0.11416322642108606,6847.0,0.15531007576101258,4535.0,0.10286712334981626,5994.0,0.13596152973733158,4573.0,0.10372907498979268,125342.0,29905.0,0.23858722535143848,0.23251022407439084,84021.0,16446.0,0.19573678009069162,26352.0,0.31363587674509946,19625.0,0.2335725592411421,21598.0,0.25705478392306685,121430.0,33260.0,0.2739026599687063,1351.0,0.040619362597714974,2442.0,0.07342152736019242,6099.0,0.1833734215273602,6139.0,0.18457606734816598,7120.0,0.21407095610342755,8253.0,0.24813589897775104,1856.0,0.05580276608538785,88170.0,0.7260973400312938
6,Downtown,17581.0,33.0,929.0,0.05284113531653489,2666.0,0.15164097605369434,5888.0,0.3349070018770263,3544.0,0.20158125248848188,2023.0,0.11506740230931119,2531.0,0.14396223195495136,9468.0,7552.0,0.798,2078.0,0.275,5474.0,0.725,67367.09,7552.0,1718.0,0.227489406779661,694.0,0.09189618644067797,376.0,0.04978813559322034,404.0,0.05349576271186441,785.0,0.10394597457627118,306.0,0.04051906779661017,957.0,0.12672139830508475,2312.0,0.3061440677966102,14372.0,3043.0,0.21173114389089898,0.02365920788692096,12299.0,2290.0,0.18619399951215546,1199.0,0.09748760061793642,1278.0,0.10391088706398895,7532.0,0.6124075128059192,17187.0,5677.0,0.3303077907720952,126.0,0.02219482120838471,142.0,0.025013211203100228,246.0,0.0433327461687511,331.0,0.05830544301567729,55.0,0.009688215606834596,3634.0,0.6401268275497622,1143.0,0.20133873524748988,11510.0,0.6696922092279048
7,East Boston,46655.0,34.0,5666.0,0.12144464687600472,4835.0,0.10363305111992284,13673.0,0.2930661236737756,14034.0,0.30080377237166434,4259.0,0.09128710749115851,4188.0,0.08976529846747401,17368.0,16286.0,0.938,4651.0,0.286,11635.0,0.714,52935.36,16286.0,2456.0,0.1508043718531254,1765.0,0.1083752916615498,1418.0,0.08706864791845757,2118.0,0.13005034999385975,2873.0,0.17640918580375783,1665.0,0.10223504850792091,2536.0,0.1557165663760285,1455.0,0.08934053788530026,46517.0,9431.0,0.20274308317389342,0.07332566203797292,32562.0,10213.0,0.31364781033106076,10279.0,0.3156747128554757,4640.0,0.1424973895952337,7430.0,0.22818008721822983,44865.0,9784.0,0.21807645157695307,596.0,0.06091578086672118,702.0,0.07174979558462796,2001.0,0.2045175797219951,2053.0,0.2098323793949305,1951.0,0.19940719542109567,1566.0,0.16005723630417007,915.0,0.09352003270645952,35081.0,0.7819235484230469
8,Fenway,32598.0,23.0,637.0,0.01954107613964047,8815.0,0.27041536290569973,17097.0,0.5244800294496594,3296.0,0.10111049757653844,1178.0,0.03613718633044972,1575.0,0.04831584759801215,12359.0,10926.0,0.884,1315.0,0.12,9611.0,0.88,39549.84,10926.0,3529.0,0.3229910305692843,1016.0,0.09298920007321984,635.0,0.058118250045762404,1020.0,0.09335529928610653,1517.0,0.13884312648727806,810.0,0.07413509060955518,1234.0,0.11294160717554458,1165.0,0.10662639575324913,18822.0,7672.0,0.40760811815960046,0.059649504734951564,12530.0,820.0,0.06544293695131684,1101.0,0.08786911412609737,1280.0,0.10215482841181166,9329.0,0.7445331205107741,32313.0,21142.0,0.6542877479652153,56.0,0.0026487560306498914,22.0,0.001040582726326743,113.0,0.005344811276132816,72.0,0.0034055434679784316,121.0,0.005723204994797087,17773.0,0.8406489452275092,2985.0,0.1411881562766058,11171.0,0.3457122520347848
9,Harbor Islands,322.0,52.0,0.0,0.0,2.0,0.006211180124223602,24.0,0.07453416149068323,190.0,0.5900621118012422,71.0,0.2204968944099379,35.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,247.0,0.7791798107255521,0.001920415493943305,312.0,51.0,0.16346153846153846,105.0,0.33653846153846156,128.0,0.41025641025641024,28.0,0.08974358974358974,322.0,9.0,0.027950310559006212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,313.0,0.9720496894409938
