,light-density
0,7
1,8
2,26
3,77
4,17
5,17
6,40
7,1
8,21
9,15
10,43
11,13
12,53
13,33
14,49
15,59
16,1
17,33
18,36
19,5
20,34
21,30
22,20
23,64
24,19
25,38
26,42
27,8
28,21
29,5
30,38
31,39
32,11
33,41
34,22
35,61
36,8
37,35
38,37
39,20
40,40
41,40
42,49
43,78
44,13
45,26
46,36
47,26
48,29
49,12
50,5
51,46
52,46
53,59
54,45
55,9
56,37
57,38
58,28
59,24
60,50
61,0
62,53
63,62
64,47
65,24
66,32
67,31
68,21
69,4
70,40
71,36
72,48
73,35
74,8
75,44
76,35
77,29
78,38
79,22
80,46
81,1
82,29
83,8
84,34
85,48
86,29
87,9
88,48
89,0
90,58
91,48
92,83
93,29
94,72
95,50
96,50
97,18
98,59
99,52
100,52
101,0
102,26
103,27
104,71
105,62
106,13
107,0
108,2
109,28
110,72
111,45
112,5
113,30
114,28
115,20
116,16
117,51
118,20
119,58
120,20
121,18
122,3
123,61
124,32
125,88
126,17
127,30
128,0
129,56
130,3
131,42
132,44
133,64
134,64
135,43
136,32
137,20
138,20
139,26
140,38
141,28
142,53
143,67
144,16
145,62
146,62
147,62
148,65
149,65
150,59
151,28
152,9
153,24
154,64
155,4
156,32
157,29
158,64
159,82
160,3
161,5
162,47
163,28
164,28
165,42
166,26
167,7
168,67
169,25
170,13
171,52
172,52
173,34
174,57
175,57
176,37
177,35
178,8
179,17
180,24
181,9
182,63
183,0
184,13
185,21
186,30
187,62
188,39
189,10
190,37
191,50
192,50
193,78
194,57
195,67
196,38
197,39
198,35
199,42
200,29
201,21
202,88
203,20
204,74
205,18
206,55
207,51
208,36
209,36
210,71
211,49
212,26
213,49
214,49
215,2
216,26
217,52
218,38
219,38
220,33
221,27
222,27
223,4
224,4
225,42
226,63
227,66
228,38
229,38
230,18
231,18
232,34
233,0
234,47
235,6
236,3
237,69
238,7
239,42
240,34
241,9
242,49
243,49
244,49
245,49
246,52
247,35
248,25
249,61
250,26
251,9
252,47
253,32
254,70
255,19
256,60
257,83
258,32
259,51
260,92
261,14
262,12
263,80
264,106
265,1
266,25
267,69
268,74
269,51
270,30
271,29
272,106
273,48
274,42
275,102
276,80
277,40
278,80
279,10
280,62
281,34
282,20
283,19
284,54
285,29
286,29
287,41
288,28
289,47
290,0
291,67
292,35
293,32
294,12
295,57
296,51
297,51
298,25
299,102
300,102
301,34
302,17
303,36
304,43
305,43
306,69
307,5
308,17
309,101
310,14
311,47
312,52
313,51
314,20
315,32
316,58
317,58
318,38
319,72
320,27
321,15
322,40
323,13
324,32
325,11
326,21
327,3
328,3
329,75
330,22
331,22
332,39
333,54
334,17
335,35
336,102
337,59
338,50
339,7
340,19
341,19
342,25
343,0
344,26
345,38
346,27
347,38
348,68
349,65
350,44
351,7
352,18
353,25
354,31
355,21
356,36
357,24
358,74
359,27
360,25
361,21
362,45
363,53
364,31
365,31
366,28
367,28
368,30
369,24
370,24
371,36
372,38
373,46
374,25
375,25
376,25
377,42
378,14
379,34
380,40
381,43
382,23
383,18
384,25
385,37
386,89
387,57
388,28
389,70
390,12
391,12
392,12
393,54
394,23
395,0
396,6
397,44
398,15
399,26
400,31
401,32
402,17
403,23
404,23
405,52
406,0
407,22
408,20
409,40
410,22
411,38
412,8
413,22
414,34
415,34
416,27
417,32
418,117
419,72
420,38
421,44
422,37
423,0
424,66
425,19
426,22
427,8
428,8
429,8
430,8
431,85
432,9
433,17
434,17
435,67
436,4
437,62
438,41
439,26
440,1
441,61
442,12
443,73
444,42
445,13
446,40
447,17
448,72
449,42
450,57
451,72
452,9
453,8
454,43
455,45
