,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
0,LB-101572,Active,GOPAL,GOP All Alc.,Central Wharf Boston MA,"(42.35909945, -71.0495668203563)"
1,LB-101576,Active,GOPAL,GOP All Alc.,Boylston PL Boston MA,"(42.316157, -71.102592)"
2,LB-101577,Active,GOPAL,GOP All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
3,LB-101611,Active,GOPMWL,GOP Malt Wine Liq.,Meridian St East Boston MA,"(42.376352, -71.03915)"
4,LB-101659,Active,INNAL,Inn. All Alc.,Charles ST Boston MA,"(42.3003827, -71.0624746)"
5,LB-106825,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
6,LB-124583,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
7,LB-126366,Active,CV7MWR,CV7 Malt Wine Restrict.,River St Hyde Park MA,"(42.2423283, -71.1477361)"
8,LB-137619,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
9,LB-144135,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
10,LB-144994,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Dudley ST Roxbury MA,"(42.3286522, -71.0834488)"
11,LB-146400,Active,CLBALA,Clb. All Alc. Airport,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
12,LB-148028,Active,GOPAL,GOP All Alc.,Thompson Island Boston MA,"(42.3150877, -71.0103593690863)"
13,LB-148518,Active,FDPL,Farmer Distillery Pouring License,Ericsson ST Dorchester MA,"(42.2916124, -71.0404761)"
14,LB-98778,Active,CLBAL,Clb. All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
15,LB-98779,Active,CLBAL,Clb. All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
16,LB-98780,Active,CLBAL,Clb. All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
17,LB-98781,Active,CLBAL,Clb. All Alc.,Commonwealth Av Boston MA,"(42.3491501, -71.0876189)"
18,LB-98782,Active,CLBAL,Clb. All Alc.,Commonwealth Av Boston MA,"(42.3491501, -71.0876189)"
19,LB-98784,Active,CLBAL,Clb. All Alc.,Federal ST Boston MA,"(42.3567881, -71.0567607)"
20,LB-98786,Active,CLBAL,Clb. All Alc.,William T Morrissey Blvd Dorchester MA,"(42.3002439, -71.0493226)"
21,LB-98787,Active,CLBAL,Clb. All Alc.,Park ST Boston MA,"(42.3731868, -71.0608094)"
22,LB-98789,Active,CLBAL,Clb. All Alc.,Stuart ST Boston MA,"(42.3504953, -71.0686605)"
23,LB-98790,Active,CLBAL,Clb. All Alc.,Fenway Boston MA,"(42.343451, -71.0977164)"
24,LB-98791,Active,CLBAL,Clb. All Alc.,Victory RD Dorchester MA,"(42.2989278, -71.029624)"
25,LB-98792,Active,CLBAL,Clb. All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
26,LB-98794,Active,CLBAL,Clb. All Alc.,Washington ST Roslindale MA,"(42.279549, -71.135535)"
27,LB-98795,Active,CLBAL,Clb. All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
28,LB-98796,Active,CLBAL,Clb. All Alc.,Medford ST Charlestown MA,"(42.400019, -71.105569)"
29,LB-98797,Active,CLBAL,Clb. All Alc.,Freeport ST Dorchester MA,"(42.3005593, -71.04918)"
30,LB-98799,Active,CLBAL,Clb. All Alc.,Bay State RD Boston MA,"(42.3501206, -71.0976653)"
31,LB-98800,Active,CLBAL,Clb. All Alc.,Bayswater ST East Boston MA,"(42.385422, -71.005285)"
32,LB-98801,Active,CLBAL,Clb. All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
33,LB-98802,Active,CLBAL,Clb. All Alc.,Birch St Roslindale MA,"(42.2860658, -71.1309436)"
34,LB-98804,Active,CLBAL,Clb. All Alc.,Boston ST Dorchester MA,"(42.3283731, -71.0577596)"
35,LB-98805,Active,CLBAL,Clb. All Alc.,Boylston PL Boston MA,"(42.316157, -71.102592)"
36,LB-98806,Active,CLBAL,Clb. All Alc.,Columbus AV Roxbury MA,"(42.3154539, -71.0981651)"
37,LB-98807,Active,CLBAL,Clb. All Alc.,Blue Hill AV Roxbury MA,"(42.307571, -71.083721)"
38,LB-98808,Active,CLBAL,Clb. All Alc.,Rice St East Boston MA,"(42.2867508, -71.0403208)"
39,LB-98809,Active,CLBAL,Clb. All Alc.,Walnut St Dorchester MA,"(42.279859, -71.0356126)"
40,LB-98810,Active,CLBAL,Clb. All Alc.,Talbot AV Dorchester MA,"(42.289069, -71.06701)"
41,LB-98811,Active,CLBAL,Clb. All Alc.,Commonwealth Av Boston MA,"(42.3491501, -71.0876189)"
42,LB-98828,Active,CLBAL,Clb. All Alc.,Park St West Roxbury MA,"(42.2861797, -71.1579485)"
43,LB-99604,Active,CV7MW,CV7 Malt Wine,Tyler St Boston MA,"(42.3504593, -71.0608787)"
44,LB-98829,Active,CLBALV,Clb. All Alc. Vet.,Ellery ST South Boston MA,"(42.3305368, -71.058278)"
45,LB-98831,Active,CLBALV,Clb. All Alc. Vet.,Hill Top ST Dorchester MA,"(42.279518, -71.050792)"
46,LB-98832,Active,CLBALV,Clb. All Alc. Vet.,Morton ST Dorchester MA,"(42.2806486, -71.0857381)"
47,LB-98835,Active,CLBALV,Clb. All Alc. Vet.,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
48,LB-98836,Active,CLBALV,Clb. All Alc. Vet.,Belgrade AV Roslindale MA,"(42.2869647, -71.130392)"
49,LB-98837,Active,CLBALV,Clb. All Alc. Vet.,Paris ST East Boston MA,"(42.3722319, -71.0378198)"
50,LB-98839,Active,CLBALV,Clb. All Alc. Vet.,Bailey St Dorchester MA,"(42.284053, -71.067961)"
51,LB-98840,Active,CLBALV,Clb. All Alc. Vet.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
52,LB-98841,Active,CLBALV,Clb. All Alc. Vet.,Blue Hill AV Mattapan MA,"(42.280265, -71.092886)"
53,LB-98846,Active,CLBMW,Club Malt & Wine,Columbia RD South Boston MA,"(42.3159585, -71.06623)"
54,LB-98888,Active,CV7AL,CV7 All Alc.,Adams ST Dorchester MA,"(42.2588941, -71.0430771)"
55,LB-98893,Active,CV7AL,CV7 All Alc.,Warrenton ST Boston MA,"(42.3502692, -71.0660021)"
56,LB-98920,Active,CV7AL,CV7 All Alc.,Dartmouth St Boston MA,"(42.3516529, -71.0781096)"
57,LB-98927,Active,CV7AL,CV7 All Alc.,W Third St South Boston MA,"(42.3387782, -71.0486539)"
58,LB-98937,Active,CV7AL,CV7 All Alc.,Friend ST Boston MA,"(42.3646957, -71.0612817)"
59,LB-98975,Active,CV7AL,CV7 All Alc.,Legends WY Boston MA,"(42.3658665, -71.0607934)"
60,LB-98994,Active,CV7AL,CV7 All Alc.,Western Av Allston MA,"(42.3633877, -71.1282912)"
61,LB-98996,Active,CV7AL,CV7 All Alc.,Columbia Rd Dorchester MA,"(42.3159585, -71.06623)"
62,LB-99025,Active,CV7AL,CV7 All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
63,LB-99027,Active,CV7AL,CV7 All Alc.,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
64,LB-99034,Active,CV7AL,CV7 All Alc.,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
65,LB-99040,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
66,LB-99041,Active,CV7AL,CV7 All Alc.,Summer ST Boston MA,"(42.3536753, -71.0580245)"
67,LB-99046,Active,CV7AL,CV7 All Alc.,Dorchester AV South Boston MA,"(42.3079919, -71.0583042)"
68,LB-99049,Active,CV7AL,CV7 All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
69,LB-99061,Active,CV7AL,CV7 All Alc.,E Second ST South Boston MA,"(42.3374411, -71.0281672)"
70,LB-99088,Active,CV7AL,CV7 All Alc.,Hanover St Boston MA,"(42.364779, -71.053461)"
71,LB-99095,Active,CV7AL,CV7 All Alc.,Harvard AV Allston MA,"(42.3502469, -71.1314516)"
72,LB-99098,Active,CV7AL,CV7 All Alc.,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
73,LB-99100,Active,CV7AL,CV7 All Alc.,Milk ST Boston MA,"(42.3573374, -71.0549013)"
74,LB-99107,Active,CV7AL,CV7 All Alc.,Saint Botolph St Boston MA,"(42.345342, -71.080259)"
75,LB-99117,Active,CV7AL,CV7 All Alc.,Kilmarnock ST Boston MA,"(42.3446108, -71.1003536)"
76,LB-99155,Active,CV7AL,CV7 All Alc.,Smith ST Roxbury MA,"(42.3335133, -71.098353)"
77,LB-99173,Active,CV7AL,CV7 All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
78,LB-99188,Active,CV7AL,CV7 All Alc.,Old Colony Av South Boston MA,"(42.3214284, -71.052015)"
79,LB-99211,Active,CV7AL,CV7 All Alc.,Savin Hill Av Dorchester MA,"(42.3115435, -71.0470898)"
80,LB-99241,Active,CV7AL,CV7 All Alc.,Newbury St Boston MA,"(42.3520749, -71.0733646)"
81,LB-99255,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
82,LB-99269,Active,CV7AL,CV7 All Alc.,Bowdoin St Dorchester MA,"(42.310495, -71.062312)"
83,LB-99309,Active,CV7AL,CV7 All Alc.,Western AV Brighton MA,"(42.3616982, -71.1467478)"
84,LB-99318,Active,CV7AL,CV7 All Alc.,Washington St Roslindale MA,"(42.279549, -71.135535)"
85,LB-99311,Active,CV7AL,CV7 All Alc.,Winter PL Boston MA,"(42.3558102, -71.061292)"
86,LB-99330,Active,CV7AL,CV7 All Alc.,Dalton St Boston MA,"(42.3478661, -71.0855635)"
87,LB-99331,Active,CV7AL,CV7 All Alc.,Legends WY Boston MA,"(42.3658665, -71.0607934)"
88,LB-99343,Active,CV7AL,CV7 All Alc.,Fairmount AV Hyde Park MA,"(42.2525898, -71.1183178)"
89,LB-99347,Active,CV7AL,CV7 All Alc.,Dorchester ST South Boston MA,"(42.301078, -71.0137069)"
90,LB-99395,Active,CV7AL,CV7 All Alc.,State St Boston MA,"(42.3588444, -71.0572152)"
91,LB-99401,Active,CV7AL,CV7 All Alc.,High ST Boston MA,"(42.3566855, -71.0515196)"
92,LB-99432,Active,CV7AL,CV7 All Alc.,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
93,LB-99434,Active,CV7AL,CV7 All Alc.,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
94,LB-99503,Active,CV7ALR,CV7 All Alc. Restrict.,West ST Boston MA,"(42.261858, -71.122748)"
95,LB-99529,Active,CV7MW,CV7 Malt Wine,Jersey St Boston MA,"(42.3454136, -71.0982414)"
96,LB-99530,Active,CV7MW,CV7 Malt Wine,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
97,LB-99558,Active,CV7MW,CV7 Malt Wine,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
98,LB-99584,Active,CV7MW,CV7 Malt Wine,Stuart ST Boston MA,"(42.3504953, -71.0686605)"
99,LB-99616,Active,CV7MW,CV7 Malt Wine,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
100,LB-99630,Active,CV7MW,CV7 Malt Wine,Dorchester AV South Boston MA,"(42.3079919, -71.0583042)"
101,LB-99653,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
102,LB-99672,Active,CV7MWL,CV7 Malt Wine Liq.,Washington St West Roxbury MA,"(42.2491675, -71.1722316)"
103,LB-99708,Active,CV7MWL,CV7 Malt Wine Liq.,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
104,LB-99727,Active,CV7MWL,CV7 Malt Wine Liq.,N Washington ST Boston MA,"(42.3646649, -71.058337)"
105,LB-99731,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
106,LB-99759,Active,CV7MWL,CV7 Malt Wine Liq.,North ST Boston MA,"(42.3625638, -71.0544517)"
107,LB-99761,Active,CV7MWL,CV7 Malt Wine Liq.,Cambridge St Boston MA,"(42.3609956, -71.0616096)"
108,LB-99770,Active,CV7MWL,CV7 Malt Wine Liq.,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
109,LB-99773,Active,CV7MWL,CV7 Malt Wine Liq.,Tyler ST Boston MA,"(42.3504593, -71.0608787)"
110,LB-99800,Active,CV7MWL,CV7 Malt Wine Liq.,Belgrade AV Roslindale MA,"(42.2869647, -71.130392)"
111,LB-99815,Active,CV7MWL,CV7 Malt Wine Liq.,1430 VFW Pkwy West Roxbury MA,"(42.270054, -71.172298)"
112,LB-99842,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
113,LB-99850,Active,CV7MWR,CV7 Malt Wine Restrict.,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
114,LB-99859,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,"Dry Dock Av, Boston MA","(42.3499029, -71.0349243936386)"
115,LB-99864,Active,CV7MWR,CV7 Malt Wine Restrict.,Hudson ST Boston MA,"(42.3481247, -71.0611242)"
116,LB-99865,Active,CV7MWR,CV7 Malt Wine Restrict.,Beach St Boston MA,"(42.3508125, -71.0580971)"
117,LB-101652,Active,INNAL,Inn. All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
118,LB-99498,Active,CV7ALR,CV7 All Alc. Restrict.,Corinth St Roslindale MA,"(42.286168, -71.1297456)"
119,LB-138284,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Harvard Av Allston MA,"(42.3502469, -71.1314516)"
120,LB-99557,Active,CV7MW,CV7 Malt Wine,Commonwealth Av Brighton MA,"(42.3399223, -71.1598651)"
121,LB-98921,Active,CV7AL,CV7 All Alc.,Bowdoin ST Boston MA,"(42.3587017, -71.0628791)"
122,LB-99190,Active,CV7AL,CV7 All Alc.,Temple PL Boston MA,"(42.3551482, -71.0618916)"
123,LB-98948,Active,CV7AL,CV7 All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
124,LB-99427,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
125,LB-99754,Active,CV7MWL,CV7 Malt Wine Liq.,L St South Boston MA,"(42.3364936, -71.0354335)"
126,LB-99291,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
127,LB-99147,Active,CV7AL,CV7 All Alc.,MASSACHUSETTS AVE Boston MA,"(42.3490087, -71.0885814)"
128,LB-98830,Active,CLBALV,Clb. All Alc. Vet.,Gallivan Blvd Dorchester MA,"(42.2825819, -71.0562325)"
129,LB-98896,Active,CV7AL,CV7 All Alc.,Austin ST Charlestown MA,"(42.3749852, -71.0654436)"
130,LB-99375,Active,CV7AL,CV7 All Alc.,Albany ST Roxbury MA,"(42.3299, -71.079064)"
131,LB-99251,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
132,LB-98946,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
133,LB-99053,Active,CV7AL,CV7 All Alc.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
134,LB-99553,Active,CV7MW,CV7 Malt Wine,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
